unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HGBJA;janeiro;2018;I;0 a 4;4;0;0;0,00
HGBJA;janeiro;2018;II;5 a 9;8;1;0;0,08
HGBJA;janeiro;2018;III;10 a 14;15;4;0;0,60
HGBJA;janeiro;2018;IV;15 a 19;25;6;0;1,50
HGBJA;janeiro;2018;V;20 a 24;40;5;2;2,00
HGBJA;janeiro;2018;VI;25 a 29;55;3;1;1,65
HGBJA;janeiro;2018;VII;30 a 34;75;2;0;1,50
HGBJA;janeiro;2018;VIII;> 34;85;3;3;2,55
HGBJA;fevereiro;2018;I;0 a 4;4;0;0;0,00
HGBJA;fevereiro;2018;II;5 a 9;8;0;0;0,00
HGBJA;fevereiro;2018;III;10 a 14;15;2;0;0,30
HGBJA;fevereiro;2018;IV;15 a 19;25;10;4;2,50
HGBJA;fevereiro;2018;V;20 a 24;40;7;2;2,80
HGBJA;fevereiro;2018;VI;25 a 29;55;5;2;2,75
HGBJA;fevereiro;2018;VII;30 a 34;75;1;1;0,75
HGBJA;fevereiro;2018;VIII;> 34;85;1;1;0,85
HGBJA;março;2018;I;0 a 4;4;0;0;0,00
HGBJA;março;2018;II;5 a 9;8;1;0;0,08
HGBJA;março;2018;III;10 a 14;15;3;0;0,45
HGBJA;março;2018;IV;15 a 19;25;5;1;1,25
HGBJA;março;2018;V;20 a 24;40;4;0;1,60
HGBJA;março;2018;VI;25 a 29;55;8;3;4,40
HGBJA;março;2018;VII;30 a 34;75;2;1;1,50
HGBJA;março;2018;VIII;> 34;85;1;1;0,85
HGBJA;abril;2018;I;0 a 4;4;0;0;0,00
HGBJA;abril;2018;II;5 a 9;8;0;0;0,00
HGBJA;abril;2018;III;10 a 14;15;5;1;0,75
HGBJA;abril;2018;IV;15 a 19;25;2;1;0,50
HGBJA;abril;2018;V;20 a 24;40;5;2;2,00
HGBJA;abril;2018;VI;25 a 29;55;5;3;2,75
HGBJA;abril;2018;VII;30 a 34;75;2;2;1,50
HGBJA;abril;2018;VIII;> 34;85;1;1;0,85
HGBJA;maio;2018;I;0 a 4;4;0;0;0,00
HGBJA;maio;2018;II;5 a 9;8;2;0;0,16
HGBJA;maio;2018;III;10 a 14;15;1;0;0,15
HGBJA;maio;2018;IV;15 a 19;25;5;2;1,25
HGBJA;maio;2018;V;20 a 24;40;9;1;3,60
HGBJA;maio;2018;VI;25 a 29;55;5;1;2,75
HGBJA;maio;2018;VII;30 a 34;75;7;1;5,25
HGBJA;maio;2018;VIII;> 34;85;2;2;1,70
HGBJA;junho;2018;I;0 a 4;4;1;0;0,04
HGBJA;junho;2018;II;5 a 9;8;0;0;0,00
HGBJA;junho;2018;III;10 a 14;15;4;0;0,60
HGBJA;junho;2018;IV;15 a 19;25;3;0;0,75
HGBJA;junho;2018;V;20 a 24;40;4;1;1,60
HGBJA;junho;2018;VI;25 a 29;55;6;2;3,30
HGBJA;junho;2018;VII;30 a 34;75;6;5;4,50
HGBJA;junho;2018;VIII;> 34;85;1;0;0,85
HGBJA;julho;2018;I;0 a 4;4;;;0,00
HGBJA;julho;2018;II;5 a 9;8;;;0,00
HGBJA;julho;2018;III;10 a 14;15;;;0,00
HGBJA;julho;2018;IV;15 a 19;25;;;0,00
HGBJA;julho;2018;V;20 a 24;40;;;0,00
HGBJA;julho;2018;VI;25 a 29;55;;;0,00
HGBJA;julho;2018;VII;30 a 34;75;;;0,00
HGBJA;julho;2018;VIII;> 34;85;;;0,00
HGBJA;agosto;2018;I;0 a 4;4;0;0;0,00
HGBJA;agosto;2018;II;5 a 9;8;0;0;0,00
HGBJA;agosto;2018;III;10 a 14;15;0;0;0,00
HGBJA;agosto;2018;IV;15 a 19;25;3;0;0,75
HGBJA;agosto;2018;V;20 a 24;40;11;2;4,40
HGBJA;agosto;2018;VI;25 a 29;55;5;1;2,75
HGBJA;agosto;2018;VII;30 a 34;75;0;0;0,00
HGBJA;agosto;2018;VIII;> 34;85;2;2;1,70
HGBJA;setembro;2018;I;0 a 4;4;0;0;0,00
HGBJA;setembro;2018;II;5 a 9;8;0;0;0,00
HGBJA;setembro;2018;III;10 a 14;15;1;0;0,15
HGBJA;setembro;2018;IV;15 a 19;25;2;0;0,50
HGBJA;setembro;2018;V;20 a 24;40;1;1;0,40
HGBJA;setembro;2018;VI;25 a 29;55;4;2;2,20
HGBJA;setembro;2018;VII;30 a 34;75;2;2;1,50
