unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HAC;Janeiro;2024;I;0 a 4;4;0;0;0
HAC;Janeiro;2024;II;5 a 9;8;11;0;0,88
HAC;Janeiro;2024;III;10 a 14;15;12;2;1,8
HAC;Janeiro;2024;IV;15 a 19;25;8;1;2
HAC;Janeiro;2024;V;20 a 24;40;4;0;1,6
HAC;Janeiro;2024;VI;25 a 29;55;1;1;0,55
HAC;Janeiro;2024;VII;30 a 34;75;2;1;1,5
HAC;Janeiro;2024;VIII;> 34;85;2;2;1,7
HAC;Fevereiro;2024;I;0 a 4;4;0;0;0
HAC;Fevereiro;2024;II;5 a 9;8;5;0;0,4
HAC;Fevereiro;2024;III;10 a 14;15;20;3;3
HAC;Fevereiro;2024;IV;15 a 19;25;13;0;3,25
HAC;Fevereiro;2024;V;20 a 24;40;2;1;0,8
HAC;Fevereiro;2024;VI;25 a 29;55;0;0;0
HAC;Fevereiro;2024;VII;30 a 34;75;0;0;0
HAC;Fevereiro;2024;VIII;> 34;85;0;0;0
HAC;Março;2024;I;0 a 4;4;0;0;0
HAC;Março;2024;II;5 a 9;8;7;0;0,56
HAC;Março;2024;III;10 a 14;15;10;1;1,5
HAC;Março;2024;IV;15 a 19;25;9;0;2,25
HAC;Março;2024;V;20 a 24;40;5;0;2
HAC;Março;2024;VI;25 a 29;55;1;0;0,55
HAC;Março;2024;VII;30 a 34;75;0;0;0
HAC;Março;2024;VIII;> 34;85;0;0;0
HAC;Abril;2024;I;0 a 4;4;1;0;0,04
HAC;Abril;2024;II;5 a 9;8;11;0;0,88
HAC;Abril;2024;III;10 a 14;15;18;3;2,7
HAC;Abril;2024;IV;15 a 19;25;9;2;2,25
HAC;Abril;2024;V;20 a 24;40;2;1;0,8
HAC;Abril;2024;VI;25 a 29;55;0;0;0
HAC;Abril;2024;VII;30 a 34;75;0;0;0
HAC;Abril;2024;VIII;> 34;85;0;0;0
HEM;Janeiro;2024;I;0 a 4;4;3;0;0,12
HEM;Janeiro;2024;II;5 a 9;8;8;0;0,64
HEM;Janeiro;2024;III;10 a 14;15;10;0;1,5
HEM;Janeiro;2024;IV;15 a 19;25;7;1;1,75
HEM;Janeiro;2024;V;20 a 24;40;7;1;2,8
HEM;Janeiro;2024;VI;25 a 29;55;5;3;2,75
HEM;Janeiro;2024;VII;30 a 34;75;5;3;3,75
HEM;Janeiro;2024;VIII;> 34;85;3;3;2,55
HEM;Fevereiro;2024;I;0 a 4;4;10;0;0,4
HEM;Fevereiro;2024;II;5 a 9;8;13;0;1,04
HEM;Fevereiro;2024;III;10 a 14;15;14;0;2,1
HEM;Fevereiro;2024;IV;15 a 19;25;5;0;1,25
HEM;Fevereiro;2024;V;20 a 24;40;2;1;0,8
HEM;Fevereiro;2024;VI;25 a 29;55;3;2;1,65
HEM;Fevereiro;2024;VII;30 a 34;75;0;0;0
HEM;Fevereiro;2024;VIII;> 34;85;0;0;0
HEM;Março;2024;I;0 a 4;4;10;0;0,4
HEM;Março;2024;II;5 a 9;8;20;0;1,6
HEM;Março;2024;III;10 a 14;15;16;0;2,4
HEM;Março;2024;IV;15 a 19;25;2;0;0,5
HEM;Março;2024;V;20 a 24;40;6;3;2,4
HEM;Março;2024;VI;25 a 29;55;1;1;0,55
HEM;Março;2024;VII;30 a 34;75;1;1;0,75
HEM;Março;2024;VIII;> 34;85;0;0;0
HEM;Abril;2024;I;0 a 4;4;4;1;0,16
HEM;Abril;2024;II;5 a 9;8;11;0;0,88
HEM;Abril;2024;III;10 a 14;15;12;0;1,8
HEM;Abril;2024;IV;15 a 19;25;3;0;0,75
HEM;Abril;2024;V;20 a 24;40;7;4;2,8
HEM;Abril;2024;VI;25 a 29;55;1;0;0,55
HEM;Abril;2024;VII;30 a 34;75;0;0;0
HEM;Abril;2024;VIII;> 34;85;0;0;0
HJK;Janeiro;2024;I;0 a 4;4;1;0;0,04
HJK;Janeiro;2024;II;5 a 9;8;8;1;0,64
HJK;Janeiro;2024;III;10 a 14;15;39;1;5,85
HJK;Janeiro;2024;IV;15 a 19;25;37;6;9,25
HJK;Janeiro;2024;V;20 a 24;40;28;2;11,2
HJK;Janeiro;2024;VI;25 a 29;55;6;1;3,3
HJK;Janeiro;2024;VII;30 a 34;75;8;0;6
HJK;Janeiro;2024;VIII;> 34;85;4;2;3,4
HJK;Fevereiro;2024;I;0 a 4;4;0;0;0
HJK;Fevereiro;2024;II;5 a 9;8;8;0;0,64
HJK;Fevereiro;2024;III;10 a 14;15;43;1;6,45
HJK;Fevereiro;2024;IV;15 a 19;25;32;3;8
HJK;Fevereiro;2024;V;20 a 24;40;17;3;6,8
HJK;Fevereiro;2024;VI;25 a 29;55;11;4;6,05
HJK;Fevereiro;2024;VII;30 a 34;75;7;2;5,25
HJK;Fevereiro;2024;VIII;> 34;85;3;2;2,55
HJK;Março;2024;I;0 a 4;4;1;0;0,04
HJK;Março;2024;II;5 a 9;8;4;0;0,32
HJK;Março;2024;III;10 a 14;15;28;3;4,2
HJK;Março;2024;IV;15 a 19;25;45;5;11,25
HJK;Março;2024;V;20 a 24;40;27;2;10,8
HJK;Março;2024;VI;25 a 29;55;13;3;7,15
HJK;Março;2024;VII;30 a 34;75;6;2;4,5
HJK;Março;2024;VIII;> 34;85;4;2;3,4
HJK;Abril;2024;I;0 a 4;4;3;0;0,12
HJK;Abril;2024;II;5 a 9;8;13;0;1,04
HJK;Abril;2024;III;10 a 14;15;26;1;3,9
HJK;Abril;2024;IV;15 a 19;25;30;3;7,5
HJK;Abril;2024;V;20 a 24;40;28;2;11,2
HJK;Abril;2024;VI;25 a 29;55;10;4;5,5
HJK;Abril;2024;VII;30 a 34;75;6;1;4,5
HJK;Abril;2024;VIII;> 34;85;0;0;0
HJXXIII;Janeiro;2024;I;0 a 4;4;16;2;0,64
HJXXIII;Janeiro;2024;II;5 a 9;8;18;0;1,44
HJXXIII;Janeiro;2024;III;10 a 14;15;36;0;5,4
HJXXIII;Janeiro;2024;IV;15 a 19;25;43;10;10,75
HJXXIII;Janeiro;2024;V;20 a 24;40;28;14;11,2
HJXXIII;Janeiro;2024;VI;25 a 29;55;8;4;4,4
HJXXIII;Janeiro;2024;VII;30 a 34;75;7;6;5,25
HJXXIII;Janeiro;2024;VIII;> 34;85;0;0;0
HJXXIII;Fevereiro;2024;I;0 a 4;4;9;1;0,36
HJXXIII;Fevereiro;2024;II;5 a 9;8;26;1;2,08
HJXXIII;Fevereiro;2024;III;10 a 14;15;32;0;4,8
HJXXIII;Fevereiro;2024;IV;15 a 19;25;32;6;8
HJXXIII;Fevereiro;2024;V;20 a 24;40;23;5;9,2
HJXXIII;Fevereiro;2024;VI;25 a 29;55;11;3;6,05
HJXXIII;Fevereiro;2024;VII;30 a 34;75;8;5;6
HJXXIII;Fevereiro;2024;VIII;> 34;85;0;0;0
HJXXIII;Março;2024;I;0 a 4;4;21;0;0,84
HJXXIII;Março;2024;II;5 a 9;8;32;0;2,56
HJXXIII;Março;2024;III;10 a 14;15;42;3;6,3
HJXXIII;Março;2024;IV;15 a 19;25;37;5;9,25
HJXXIII;Março;2024;V;20 a 24;40;23;10;9,2
HJXXIII;Março;2024;VI;25 a 29;55;3;1;1,65
HJXXIII;Março;2024;VII;30 a 34;75;7;6;5,25
HJXXIII;Março;2024;VIII;> 34;85;0;0;0
HJXXIII;Abril;2024;I;0 a 4;4;13;0;0,52
HJXXIII;Abril;2024;II;5 a 9;8;22;1;1,76
HJXXIII;Abril;2024;III;10 a 14;15;37;1;5,55
HJXXIII;Abril;2024;IV;15 a 19;25;36;5;9
HJXXIII;Abril;2024;V;20 a 24;40;16;6;6,4
HJXXIII;Abril;2024;VI;25 a 29;55;6;4;3,3
HJXXIII;Abril;2024;VII;30 a 34;75;4;3;3
HJXXIII;Abril;2024;VIII;> 34;85;0;0;0
HRAD;Janeiro;2024;I;0 a 4;4;0;0;0
HRAD;Janeiro;2024;II;5 a 9;8;2;0;0,16
HRAD;Janeiro;2024;III;10 a 14;15;5;0;0,75
HRAD;Janeiro;2024;IV;15 a 19;25;4;0;1
HRAD;Janeiro;2024;V;20 a 24;40;6;4;2,4
HRAD;Janeiro;2024;VI;25 a 29;55;1;1;0,55
HRAD;Janeiro;2024;VII;30 a 34;75;0;0;0
HRAD;Janeiro;2024;VIII;> 34;85;0;0;0
HRAD;Fevereiro;2024;I;0 a 4;4;0;0;0
HRAD;Fevereiro;2024;II;5 a 9;8;2;0;0,16
HRAD;Fevereiro;2024;III;10 a 14;15;6;0;0,9
HRAD;Fevereiro;2024;IV;15 a 19;25;6;1;1,5
HRAD;Fevereiro;2024;V;20 a 24;40;4;1;1,6
HRAD;Fevereiro;2024;VI;25 a 29;55;1;0;0,55
HRAD;Fevereiro;2024;VII;30 a 34;75;0;0;0
HRAD;Fevereiro;2024;VIII;> 34;85;0;0;0
HRAD;Março;2024;I;0 a 4;4;0;0;0
HRAD;Março;2024;II;5 a 9;8;0;0;0
HRAD;Março;2024;III;10 a 14;15;4;0;0,6
HRAD;Março;2024;IV;15 a 19;25;10;2;2,5
HRAD;Março;2024;V;20 a 24;40;9;2;3,6
HRAD;Março;2024;VI;25 a 29;55;3;2;1,65
HRAD;Março;2024;VII;30 a 34;75;0;0;0
HRAD;Março;2024;VIII;> 34;85;0;0;0
HRAD;Abril;2024;I;0 a 4;4;0;0;0
HRAD;Abril;2024;II;5 a 9;8;6;1;0,48
HRAD;Abril;2024;III;10 a 14;15;3;0;0,45
HRAD;Abril;2024;IV;15 a 19;25;6;0;1,5
HRAD;Abril;2024;V;20 a 24;40;5;2;2
HRAD;Abril;2024;VI;25 a 29;55;11;2;6,05
HRAD;Abril;2024;VII;30 a 34;75;0;0;0
