unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HEM;Março;2023;V;20 a 24;40;5;3;2
HEM;Março;2023;VI;25 a 29;55;3;1;1,65
HEM;Março;2023;VII;30 a 34;75;3;2;2,25
HEM;Março;2023;VIII;> 34;85;2;2;1,7
HEM;Abril;2023;I;0 a 4;4;1;0;0,04
HEM;Abril;2023;II;5 a 9;8;3;0;0,24
HEM;Abril;2023;III;10 a 14;15;8;0;1,2
HEM;Abril;2023;IV;15 a 19;25;8;0;2
HEM;Abril;2023;V;20 a 24;40;10;0;4
HEM;Abril;2023;VI;25 a 29;55;3;0;1,65
HEM;Abril;2023;VII;30 a 34;75;0;0;0
HEM;Abril;2023;VIII;> 34;85;0;0;0
HEM;Maio;2023;I;0 a 4;4;1;0;0,04
HEM;Maio;2023;II;5 a 9;8;2;1;0,16
HEM;Maio;2023;III;10 a 14;15;5;1;0,75
HEM;Maio;2023;IV;15 a 19;25;16;1;4
HEM;Maio;2023;V;20 a 24;40;7;2;2,8
HEM;Maio;2023;VI;25 a 29;55;1;0;0,55
HEM;Maio;2023;VII;30 a 34;75;2;0;1,5
HEM;Maio;2023;VIII;> 34;85;3;2;2,55
HEM;Junho;2023;I;0 a 4;4;0;0;0
HEM;Junho;2023;II;5 a 9;8;7;0;0,56
HEM;Junho;2023;III;10 a 14;15;6;1;0,9
HEM;Junho;2023;IV;15 a 19;25;12;2;3
HEM;Junho;2023;V;20 a 24;40;2;0;0,8
HEM;Junho;2023;VI;25 a 29;55;3;0;1,65
HEM;Junho;2023;VII;30 a 34;75;1;0;0,75
HEM;Junho;2023;VIII;> 34;85;0;0;0
HEM;Julho;2023;I;0 a 4;4;0;0;0
HEM;Julho;2023;II;5 a 9;8;0;0;0
HEM;Julho;2023;III;10 a 14;15;3;0;0,45
HEM;Julho;2023;IV;15 a 19;25;10;1;2,5
HEM;Julho;2023;V;20 a 24;40;7;1;2,8
HEM;Julho;2023;VI;25 a 29;55;7;3;3,85
HEM;Julho;2023;VII;30 a 34;75;2;0;1,5
HEM;Julho;2023;VIII;> 34;85;2;1;1,7
HEM;Agosto;2023;I;0 a 4;4;0;0;0
HEM;Agosto;2023;II;5 a 9;8;3;0;0,24
HEM;Agosto;2023;III;10 a 14;15;7;1;1,05
HEM;Agosto;2023;IV;15 a 19;25;2;0;0,5
HEM;Agosto;2023;V;20 a 24;40;11;3;4,4
HEM;Agosto;2023;VI;25 a 29;55;11;4;6,05
HEM;Agosto;2023;VII;30 a 34;75;3;2;2,25
HEM;Agosto;2023;VIII;> 34;85;3;1;2,55
HEM;Setembro;2023;I;0 a 4;4;0;0;0
HEM;Setembro;2023;II;5 a 9;8;4;0;0,32
HEM;Setembro;2023;III;10 a 14;15;9;1;1,35
HEM;Setembro;2023;IV;15 a 19;25;3;0;0,75
HEM;Setembro;2023;V;20 a 24;40;6;1;2,4
HEM;Setembro;2023;VI;25 a 29;55;4;2;2,2
HEM;Setembro;2023;VII;30 a 34;75;2;1;1,5
HEM;Setembro;2023;VIII;> 34;85;3;2;2,55
HJK;Janeiro;2023;I;0 a 4;4;0;0;0
HJK;Janeiro;2023;II;5 a 9;8;2;0;0,16
HJK;Janeiro;2023;III;10 a 14;15;10;0;1,5
HJK;Janeiro;2023;IV;15 a 19;25;11;2;2,75
HJK;Janeiro;2023;V;20 a 24;40;11;1;4,4
HJK;Janeiro;2023;VI;25 a 29;55;3;2;1,65
HJK;Janeiro;2023;VII;30 a 34;75;4;2;3
HJK;Janeiro;2023;VIII;> 34;85;0;0;0
HJK;Fevereiro;2023;I;0 a 4;4;0;0;0
HJK;Fevereiro;2023;II;5 a 9;8;1;0;0,08
HJK;Fevereiro;2023;III;10 a 14;15;10;1;1,5
HJK;Fevereiro;2023;IV;15 a 19;25;12;1;3
HJK;Fevereiro;2023;V;20 a 24;40;13;1;5,2
HJK;Fevereiro;2023;VI;25 a 29;55;7;4;3,85
HJK;Fevereiro;2023;VII;30 a 34;75;3;0;2,25
HJK;Fevereiro;2023;VIII;> 34;85;5;4;4,25
HJK;Março;2023;I;0 a 4;4;0;0;0
HJK;Março;2023;II;5 a 9;8;4;0;0,32
HJK;Março;2023;III;10 a 14;15;14;2;2,1
HJK;Março;2023;IV;15 a 19;25;16;2;4
HJK;Março;2023;V;20 a 24;40;8;1;3,2
HJK;Março;2023;VI;25 a 29;55;7;3;3,85
HJK;Março;2023;VII;30 a 34;75;5;2;3,75
HJK;Março;2023;VIII;> 34;85;2;0;1,7
HJK;Abril;2023;I;0 a 4;4;2;0;0,08
HJK;Abril;2023;II;5 a 9;8;5;0;0,4
HJK;Abril;2023;III;10 a 14;15;13;0;1,95
HJK;Abril;2023;IV;15 a 19;25;28;2;7
HJK;Abril;2023;V;20 a 24;40;17;1;6,8
HJK;Abril;2023;VI;25 a 29;55;7;3;3,85
HJK;Abril;2023;VII;30 a 34;75;1;1;0,75
HJK;Abril;2023;VIII;> 34;85;0;0;0
HJK;Maio;2023;I;0 a 4;4;2;0;0,08
HJK;Maio;2023;II;5 a 9;8;3;0;0,24
HJK;Maio;2023;III;10 a 14;15;28;3;4,2
HJK;Maio;2023;IV;15 a 19;25;24;3;6
HJK;Maio;2023;V;20 a 24;40;16;0;6,4
HJK;Maio;2023;VI;25 a 29;55;9;4;4,95
HJK;Maio;2023;VII;30 a 34;75;3;1;2,25
HJK;Maio;2023;VIII;> 34;85;4;3;3,4
HJK;Junho;2023;I;0 a 4;4;4;0;0,16
