unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HGBJA;janeiro;2019;I;0 a 4;4;3;0;0,12
HGBJA;janeiro;2019;II;5 a 9;8;1;0;0,08
HGBJA;janeiro;2019;III;10 a 14;15;1;0;0,15
HGBJA;janeiro;2019;IV;15 a 19;25;5;0;1,25
HGBJA;janeiro;2019;V;20 a 24;40;5;0;2,00
HGBJA;janeiro;2019;VI;25 a 29;55;3;1;1,65
HGBJA;janeiro;2019;VII;30 a 34;75;4;3;3,00
HGBJA;janeiro;2019;VIII;> 34;85;3;2;2,55
HGBJA;fevereiro;2019;I;0 a 4;4;0;0;0,00
HGBJA;fevereiro;2019;II;5 a 9;8;0;0;0,00
HGBJA;fevereiro;2019;III;10 a 14;15;3;0;0,45
HGBJA;fevereiro;2019;IV;15 a 19;25;7;1;1,75
HGBJA;fevereiro;2019;V;20 a 24;40;6;0;2,40
HGBJA;fevereiro;2019;VI;25 a 29;55;1;0;0,55
HGBJA;fevereiro;2019;VII;30 a 34;75;2;1;1,50
HGBJA;fevereiro;2019;VIII;> 34;85;0;0;0,00
HGBJA;março;2019;I;0 a 4;4;0;0;0,00
HGBJA;março;2019;II;5 a 9;8;1;0;0,08
HGBJA;março;2019;III;10 a 14;15;4;0;0,60
HGBJA;março;2019;IV;15 a 19;25;4;1;1,00
HGBJA;março;2019;V;20 a 24;40;5;1;2,00
HGBJA;março;2019;VI;25 a 29;55;4;2;2,20
HGBJA;março;2019;VII;30 a 34;75;3;1;2,25
HGBJA;março;2019;VIII;> 34;85;0;0;0,00
HGBJA;abril;2019;I;0 a 4;4;0;0;0,00
HGBJA;abril;2019;II;5 a 9;8;0;0;0,00
HGBJA;abril;2019;III;10 a 14;15;2;0;0,30
HGBJA;abril;2019;IV;15 a 19;25;3;1;0,75
HGBJA;abril;2019;V;20 a 24;40;3;0;1,20
HGBJA;abril;2019;VI;25 a 29;55;6;1;3,30
HGBJA;abril;2019;VII;30 a 34;75;1;0;0,75
HGBJA;abril;2019;VIII;> 34;85;3;2;2,55
HGBJA;maio;2019;I;0 a 4;4;0;0;0,00
HGBJA;maio;2019;II;5 a 9;8;1;0;0,08
HGBJA;maio;2019;III;10 a 14;15;4;0;0,60
HGBJA;maio;2019;IV;15 a 19;25;5;1;1,25
HGBJA;maio;2019;V;20 a 24;40;7;3;2,80
HGBJA;maio;2019;VI;25 a 29;55;2;0;1,10
HGBJA;maio;2019;VII;30 a 34;75;3;3;2,25
HGBJA;maio;2019;VIII;> 34;85;0;0;0,00
HGBJA;junho;2019;I;0 a 4;4;0;0;0,00
HGBJA;junho;2019;II;5 a 9;8;0;0;0,00
HGBJA;junho;2019;III;10 a 14;15;0;0;0,00
HGBJA;junho;2019;IV;15 a 19;25;5;0;1,25
HGBJA;junho;2019;V;20 a 24;40;10;1;4,00
HGBJA;junho;2019;VI;25 a 29;55;0;0;0,00
HGBJA;junho;2019;VII;30 a 34;75;3;2;2,25
HGBJA;junho;2019;VIII;> 34;85;0;0;0,00
HGBJA;julho;2019;I;0 a 4;4;1;0;0,04
HGBJA;julho;2019;II;5 a 9;8;6;0;0,48
HGBJA;julho;2019;III;10 a 14;15;10;2;1,50
HGBJA;julho;2019;IV;15 a 19;25;17;2;4,25
HGBJA;julho;2019;V;20 a 24;40;1;0;0,40
HGBJA;julho;2019;VI;25 a 29;55;0;0;0,00
HGBJA;julho;2019;VII;30 a 34;75;0;0;0,00
HGBJA;julho;2019;VIII;> 34;85;0;0;0,00
HGBJA;agosto;2019;I;0 a 4;4;0;0;0,00
HGBJA;agosto;2019;II;5 a 9;8;1;0;0,08
HGBJA;agosto;2019;III;10 a 14;15;1;0;0,15
HGBJA;agosto;2019;IV;15 a 19;25;5;0;1,25
HGBJA;agosto;2019;V;20 a 24;40;14;4;5,60
HGBJA;agosto;2019;VI;25 a 29;55;6;2;3,30
HGBJA;agosto;2019;VII;30 a 34;75;3;1;2,25
HGBJA;agosto;2019;VIII;> 34;85;0;0;0,00
HGBJA;setembro;2019;I;0 a 4;4;0;0;0,00
HGBJA;setembro;2019;II;5 a 9;8;0;0;0,00
HGBJA;setembro;2019;III;10 a 14;15;1;0;0,15
HGBJA;setembro;2019;IV;15 a 19;25;4;1;1,00
HGBJA;setembro;2019;V;20 a 24;40;5;1;2,00
HGBJA;setembro;2019;VI;25 a 29;55;2;1;1,10
HGBJA;setembro;2019;VII;30 a 34;75;3;1;2,25
HGBJA;setembro;2019;VIII;> 34;85;0;0;0,00
HGBJA;outubro;2019;I;0 a 4;4;0;0;0,00
HGBJA;outubro;2019;II;5 a 9;8;0;0;0,00
HGBJA;outubro;2019;III;10 a 14;15;4;1;0,60
HGBJA;outubro;2019;IV;15 a 19;25;4;1;1,00
HGBJA;outubro;2019;V;20 a 24;40;5;0;2,00
HGBJA;outubro;2019;VI;25 a 29;55;8;4;4,40
HGBJA;outubro;2019;VII;30 a 34;75;0;0;0,00
HGBJA;outubro;2019;VIII;> 34;85;1;1;0,85
HGBJA;novembro;2019;I;0 a 4;4;0;0;0,00
HGBJA;novembro;2019;II;5 a 9;8;1;0;0,08
HGBJA;novembro;2019;III;10 a 14;15;2;0;0,30
HGBJA;novembro;2019;IV;15 a 19;25;2;0;0,50
HGBJA;novembro;2019;V;20 a 24;40;6;3;2,40
HGBJA;novembro;2019;VI;25 a 29;55;5;1;2,75
HGBJA;novembro;2019;VII;30 a 34;75;0;0;0,00
HGBJA;novembro;2019;VIII;> 34;85;1;1;0,85
HGBJA;dezembro;2019;I;0 a 4;4;0;0;0,00
HGBJA;dezembro;2019;II;5 a 9;8;0;0;0,00
HGBJA;dezembro;2019;III;10 a 14;15;0;0;0,00
HGBJA;dezembro;2019;IV;15 a 19;25;3;0;0,75
HGBJA;dezembro;2019;V;20 a 24;40;6;2;2,40
HGBJA;dezembro;2019;VI;25 a 29;55;6;2;3,30
HGBJA;dezembro;2019;VII;30 a 34;75;0;0;0,00
HGBJA;dezembro;2019;VIII;> 34;85;0;0;0,00
HJK;janeiro;2019;I;0 a 4;4;0;0;0,00
HJK;janeiro;2019;II;5 a 9;8;2;0;0,16
HJK;janeiro;2019;III;10 a 14;15;13;1;1,95
HJK;janeiro;2019;IV;15 a 19;25;22;4;5,50
HJK;janeiro;2019;V;20 a 24;40;10;2;4,00
HJK;janeiro;2019;VI;25 a 29;55;6;3;3,30
HJK;janeiro;2019;VII;30 a 34;75;5;2;3,75
HJK;janeiro;2019;VIII;> 34;85;4;3;3,40
HJK;fevereiro;2019;I;0 a 4;4;0;0;0,00
HJK;fevereiro;2019;II;5 a 9;8;4;0;0,32
HJK;fevereiro;2019;III;10 a 14;15;23;2;3,45
HJK;fevereiro;2019;IV;15 a 19;25;19;1;4,75
HJK;fevereiro;2019;V;20 a 24;40;10;2;4,00
HJK;fevereiro;2019;VI;25 a 29;55;8;2;4,40
HJK;fevereiro;2019;VII;30 a 34;75;4;1;3,00
HJK;fevereiro;2019;VIII;> 34;85;5;1;4,25
HJK;março;2019;I;0 a 4;4;0;0;0,00
HJK;março;2019;II;5 a 9;8;7;0;0,56
HJK;março;2019;III;10 a 14;15;23;1;3,45
HJK;março;2019;IV;15 a 19;25;17;2;4,25
HJK;março;2019;V;20 a 24;40;11;2;4,40
HJK;março;2019;VI;25 a 29;55;9;3;4,95
HJK;março;2019;VII;30 a 34;75;2;1;1,50
HJK;março;2019;VIII;> 34;85;1;1;0,85
HJK;abril;2019;I;0 a 4;4;0;0;0,00
HJK;abril;2019;II;5 a 9;8;1;0;0,08
HJK;abril;2019;III;10 a 14;15;12;0;1,80
HJK;abril;2019;IV;15 a 19;25;31;2;7,75
HJK;abril;2019;V;20 a 24;40;16;1;6,40
