unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HAC;Janeiro;2022;I;0 a 4;4;1;0;0,04
HAC;Janeiro;2022;II;5 a 9;8;13;2;1,04
HAC;Janeiro;2022;III;10 a 14;15;17;1;2,55
HAC;Janeiro;2022;IV;15 a 19;25;6;2;1,5
HAC;Janeiro;2022;V;20 a 24;40;0;0;0
HAC;Janeiro;2022;VI;25 a 29;55;0;0;0
HAC;Janeiro;2022;VII;30 a 34;75;0;0;0
HAC;Janeiro;2022;VIII;> 34;85;0;0;0
HAC;Fevereiro;2022;I;0 a 4;4;2;0;0,08
HAC;Fevereiro;2022;II;5 a 9;8;9;0;0,72
HAC;Fevereiro;2022;III;10 a 14;15;11;0;1,65
HAC;Fevereiro;2022;IV;15 a 19;25;7;1;1,75
HAC;Fevereiro;2022;V;20 a 24;40;5;2;2
HAC;Fevereiro;2022;VI;25 a 29;55;0;0;0
HAC;Fevereiro;2022;VII;30 a 34;75;1;1;0,75
HAC;Fevereiro;2022;VIII;> 34;85;0;0;0
HAC;Março;2022;I;0 a 4;4;1;0;0,04
HAC;Março;2022;II;5 a 9;8;5;0;0,4
HAC;Março;2022;III;10 a 14;15;10;1;1,5
HAC;Março;2022;IV;15 a 19;25;11;0;2,75
HAC;Março;2022;V;20 a 24;40;5;1;2
HAC;Março;2022;VI;25 a 29;55;5;1;2,75
HAC;Março;2022;VII;30 a 34;75;0;0;0
HAC;Março;2022;VIII;> 34;85;0;0;0
HAC;Abril;2022;I;0 a 4;4;0;0;0
HAC;Abril;2022;II;5 a 9;8;1;1;0,08
HAC;Abril;2022;III;10 a 14;15;5;1;0,75
HAC;Abril;2022;IV;15 a 19;25;5;1;1,25
HAC;Abril;2022;V;20 a 24;40;6;3;2,4
HAC;Abril;2022;VI;25 a 29;55;6;4;3,3
HAC;Abril;2022;VII;30 a 34;75;0;0;0
HAC;Abril;2022;VIII;> 34;85;0;0;0
HAC;Maio;2022;I;0 a 4;4;2;0;0,08
HAC;Maio;2022;II;5 a 9;8;5;0;0,4
HAC;Maio;2022;III;10 a 14;15;6;0;0,9
HAC;Maio;2022;IV;15 a 19;25;8;0;2
HAC;Maio;2022;V;20 a 24;40;2;0;0,8
HAC;Maio;2022;VI;25 a 29;55;2;1;1,1
HAC;Maio;2022;VII;30 a 34;75;1;0;0,75
HAC;Maio;2022;VIII;> 34;85;1;1;0,85
HAC;Junho;2022;I;0 a 4;4;0;0;0
HAC;Junho;2022;II;5 a 9;8;6;0;0,48
HAC;Junho;2022;III;10 a 14;15;5;0;0,75
HAC;Junho;2022;IV;15 a 19;25;7;0;1,75
HAC;Junho;2022;V;20 a 24;40;6;2;2,4
HAC;Junho;2022;VI;25 a 29;55;3;1;1,65
HAC;Junho;2022;VII;30 a 34;75;0;0;0
HAC;Junho;2022;VIII;> 34;85;4;2;3,4
HEM;Janeiro;2022;I;0 a 4;4;0;0;0
HEM;Janeiro;2022;II;5 a 9;8;4;0;0,32
HEM;Janeiro;2022;III;10 a 14;15;14;0;2,1
HEM;Janeiro;2022;IV;15 a 19;25;17;3;4,25
HEM;Janeiro;2022;V;20 a 24;40;9;3;3,6
HEM;Janeiro;2022;VI;25 a 29;55;11;8;6,05
HEM;Janeiro;2022;VII;30 a 34;75;3;2;2,25
HEM;Janeiro;2022;VIII;> 34;85;2;1;1,7
HEM;Fevereiro;2022;I;0 a 4;4;0;0;0
HEM;Fevereiro;2022;II;5 a 9;8;0;0;0
HEM;Fevereiro;2022;III;10 a 14;15;6;2;0,9
HEM;Fevereiro;2022;IV;15 a 19;25;10;4;2,5
HEM;Fevereiro;2022;V;20 a 24;40;13;6;5,2
HEM;Fevereiro;2022;VI;25 a 29;55;9;4;4,95
HEM;Fevereiro;2022;VII;30 a 34;75;1;0;0,75
HEM;Fevereiro;2022;VIII;> 34;85;0;0;0
HEM;Março;2022;I;0 a 4;4;0;0;0
HEM;Março;2022;II;5 a 9;8;0;0;0
HEM;Março;2022;III;10 a 14;15;7;2;1,05
HEM;Março;2022;IV;15 a 19;25;3;1;0,75
HEM;Março;2022;V;20 a 24;40;11;4;4,4
HEM;Março;2022;VI;25 a 29;55;7;5;3,85
HEM;Março;2022;VII;30 a 34;75;4;2;3
HEM;Março;2022;VIII;> 34;85;1;0;0,85
HEM;Abril;2022;I;0 a 4;4;0;0;0
HEM;Abril;2022;II;5 a 9;8;2;0;0,16
HEM;Abril;2022;III;10 a 14;15;9;3;1,35
HEM;Abril;2022;IV;15 a 19;25;6;0;1,5
HEM;Abril;2022;V;20 a 24;40;5;2;2
HEM;Abril;2022;VI;25 a 29;55;5;1;2,75
HEM;Abril;2022;VII;30 a 34;75;1;0;0,75
HEM;Abril;2022;VIII;> 34;85;2;2;1,7
HEM;Maio;2022;I;0 a 4;4;0;0;0
HEM;Maio;2022;II;5 a 9;8;0;0;0
HEM;Maio;2022;III;10 a 14;15;7;0;1,05
HEM;Maio;2022;IV;15 a 19;25;18;7;4,5
HEM;Maio;2022;V;20 a 24;40;11;2;4,4
HEM;Maio;2022;VI;25 a 29;55;10;3;5,5
HEM;Maio;2022;VII;30 a 34;75;1;1;0,75
HEM;Maio;2022;VIII;> 34;85;0;0;0
HEM;Junho;2022;I;0 a 4;4;0;0;0
HEM;Junho;2022;II;5 a 9;8;1;0;0,08
HEM;Junho;2022;III;10 a 14;15;6;3;0,9
HEM;Junho;2022;IV;15 a 19;25;10;1;2,5
HEM;Junho;2022;V;20 a 24;40;6;1;2,4
HEM;Junho;2022;VI;25 a 29;55;4;0;2,2
HEM;Junho;2022;VII;30 a 34;75;1;0;0,75
HEM;Junho;2022;VIII;> 34;85;0;0;0
HJK;Janeiro;2022;I;0 a 4;4;0;0;0
HJK;Janeiro;2022;II;5 a 9;8;12;0;0,96
HJK;Janeiro;2022;III;10 a 14;15;31;3;4,65
HJK;Janeiro;2022;IV;15 a 19;25;28;5;7
