unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HAC;Janeiro;2025;I;0 a 4;4;3;0;0,12
HAC;Janeiro;2025;II;5 a 9;8;17;0;1,36
HAC;Janeiro;2025;III;10 a 14;15;12;1;1,8
HAC;Janeiro;2025;IV;15 a 19;25;7;1;1,75
HAC;Janeiro;2025;V;20 a 24;40;4;3;1,6
HAC;Janeiro;2025;VI;25 a 29;55;2;1;1,1
HAC;Janeiro;2025;VII;30 a 34;75;1;1;0,75
HAC;Janeiro;2025;VIII;> 34;85;0;0;0
HAC;Fevereiro;2025;I;0 a 4;4;2;0;0,08
HAC;Fevereiro;2025;II;5 a 9;8;23;0;1,84
HAC;Fevereiro;2025;III;10 a 14;15;14;1;2,1
HAC;Fevereiro;2025;IV;15 a 19;25;4;2;1
HAC;Fevereiro;2025;V;20 a 24;40;1;1;0,4
HAC;Fevereiro;2025;VI;25 a 29;55;0;0;0
HAC;Fevereiro;2025;VII;30 a 34;75;1;1;0,75
HAC;Fevereiro;2025;VIII;> 34;85;1;1;0,85
HAC;Março;2025;I;0 a 4;4;0;0;0
HAC;Março;2025;II;5 a 9;8;6;0;0,48
HAC;Março;2025;III;10 a 14;15;17;0;2,55
HAC;Março;2025;IV;15 a 19;25;14;1;3,5
HAC;Março;2025;V;20 a 24;40;7;0;2,8
HAC;Março;2025;VI;25 a 29;55;2;1;1,1
HAC;Março;2025;VII;30 a 34;75;2;2;1,5
HAC;Março;2025;VIII;> 34;85;0;0;0
HAC;Abril;2025;I;0 a 4;4;0;0;0
HAC;Abril;2025;II;5 a 9;8;3;0;0,24
HAC;Abril;2025;III;10 a 14;15;7;1;1,05
HAC;Abril;2025;IV;15 a 19;25;10;2;2,5
HAC;Abril;2025;V;20 a 24;40;4;0;1,6
HAC;Abril;2025;VI;25 a 29;55;1;1;0,55
HAC;Abril;2025;VII;30 a 34;75;0;0;0
HAC;Abril;2025;VIII;> 34;85;2;2;1,7
HEM;Janeiro;2025;I;0 a 4;4;1;0;0,04
HEM;Janeiro;2025;II;5 a 9;8;11;1;0,88
HEM;Janeiro;2025;III;10 a 14;15;10;0;1,5
HEM;Janeiro;2025;IV;15 a 19;25;6;1;1,5
HEM;Janeiro;2025;V;20 a 24;40;5;0;2
HEM;Janeiro;2025;VI;25 a 29;55;5;1;2,75
HEM;Janeiro;2025;VII;30 a 34;75;0;0;0
HEM;Janeiro;2025;VIII;> 34;85;2;1;1,7
HEM;Fevereiro;2025;I;0 a 4;4;2;1;0,08
HEM;Fevereiro;2025;II;5 a 9;8;10;0;0,8
HEM;Fevereiro;2025;III;10 a 14;15;8;3;1,2
HEM;Fevereiro;2025;IV;15 a 19;25;5;2;1,25
HEM;Fevereiro;2025;V;20 a 24;40;4;2;1,6
HEM;Fevereiro;2025;VI;25 a 29;55;2;0;1,1
HEM;Fevereiro;2025;VII;30 a 34;75;1;0;0,75
HEM;Fevereiro;2025;VIII;> 34;85;0;0;0
HEM;Março;2025;I;0 a 4;4;3;0;0,12
HEM;Março;2025;II;5 a 9;8;12;0;0,96
HEM;Março;2025;III;10 a 14;15;7;0;1,05
HEM;Março;2025;IV;15 a 19;25;5;1;1,25
HEM;Março;2025;V;20 a 24;40;2;1;0,8
HEM;Março;2025;VI;25 a 29;55;4;4;2,2
HEM;Março;2025;VII;30 a 34;75;3;3;2,25
HEM;Março;2025;VIII;> 34;85;1;0;0,85
HEM;Abril;2025;I;0 a 4;4;4;0;0,16
HEM;Abril;2025;II;5 a 9;8;8;2;0,64
HEM;Abril;2025;III;10 a 14;15;9;1;1,35
HEM;Abril;2025;IV;15 a 19;25;4;0;1
HEM;Abril;2025;V;20 a 24;40;4;3;1,6
HEM;Abril;2025;VI;25 a 29;55;3;2;1,65
HEM;Abril;2025;VII;30 a 34;75;3;2;2,25
HEM;Abril;2025;VIII;> 34;85;0;0;0
HJXXIII;Janeiro;2025;I;0 a 4;4;12;0;0,48
